key	formatted	doi
sakai1986	Sakai LY, Keene DR, Engvall E. Fibrillin, a new 350-kD glycoprotein, is a component of extracellular microfibrils. *J Cell Biol* 103, 2499–2509 (1986)	10.1083/jcb.103.6.2499
dietz1991	Dietz HC, *et al.* Marfan syndrome caused by a recurrent de novo missense mutation in the fibrillin gene. *Nature* 352, 337–339 (1991)	10.1038/352337a0
handford1995	Handford PA, *et al.* The calcium binding properties and molecular organization of epidermal growth factor-like domains in human fibrillin-1. *J Biol Chem* 270, 6751–6756 (1995)	10.1074/jbc.270.12.6751
jensen2012	Jensen SA, Robertson IB, Handford PA. Dissecting the fibrillin microfibril: structural insights into organization and function. *Structure* 20, 215–225 (2012)	10.1016/j.str.2011.12.008
downing1996	Downing AK, *et al.* Solution structure of a pair of calcium-binding epidermal growth factor-like domains: implications for the Marfan syndrome and other genetic disorders. *Cell* 85, 597–605 (1996)	10.1016/S0092-8674(00)81259-3
knott1996	Knott V, Downing AK, Cardy CM, Handford PA. Calcium binding properties of an epidermal growth factor-like domain pair from human fibrillin-1. *J Mol Biol* 255, 22–27 (1996)	10.1006/jmbi.1996.0003
godwin2023	Godwin ARF, *et al.* Fibrillin microfibril structure identifies long-range effects of inherited pathogenic mutations affecting a key regulatory latent TGFβ-binding site. *Nat Struct Mol Biol* 30, 608–618 (2023)	10.1038/s41594-023-00950-8
baudhuin2019	Baudhuin LM, Kotzer KE, Lagerstedt SA. Variability in gene-based knowledge impacts variant classification: an analysis of FBN1 missense variants in ClinVar. *Eur J Hum Genet* 27, 1550–1560 (2019)	10.1038/s41431-019-0440-3
drackley2024	Drackley A, Somerville C, Arnaud P, *et al.* Interpretation and classification of FBN1 variants associated with Marfan syndrome: consensus recommendations from the Clinical Genome Resource's FBN1 variant curation expert panel. *Genome Med* 16, 154 (2024)	10.1186/s13073-024-01423-3
handford1991	Handford PA, Mayhew M, Baron M, Winship PR, Campbell ID, Brownlee GG. Key residues involved in calcium-binding motifs in EGF-like domains. *Nature* 351, 164–167 (1991)	10.1038/351164a0
kettle1999	Kettle S, *et al.* Defective calcium binding to fibrillin-1: consequence of an N2144S change for fibrillin-1 structure and function. *J Mol Biol* 285, 1277–1291 (1999)	10.1006/jmbi.1998.2368
reinhardt2000	Reinhardt DP, Ono RN, Notbohm H, Müller PK, Bächinger HP, Sakai LY. Mutations in calcium-binding epidermal growth factor modules render fibrillin-1 susceptible to proteolysis: a potential disease-causing mechanism in Marfan syndrome. *J Biol Chem* 275, 12339–12345 (2000)	10.1074/jbc.275.16.12339
mcgettrick2000	McGettrick AJ, Knott V, Willis A, Handford PA. Molecular effects of calcium binding mutations in Marfan syndrome depend on domain context. *Hum Mol Genet* 9, 1987–1994 (2000)	10.1093/hmg/9.13.1987
whiteman2003	Whiteman P, Handford PA. Defective secretion of recombinant fragments of fibrillin-1: implications of protein misfolding for the pathogenesis of Marfan syndrome and related disorders. *Hum Mol Genet* 12, 727–737 (2003)	10.1093/hmg/ddg081
whiteman2007	Whiteman P, *et al.* Cellular and molecular studies of Marfan syndrome mutations identify co-operative protein folding in the cbEGF12–13 region of fibrillin-1. *Hum Mol Genet* 16, 907–918 (2007)	10.1093/hmg/ddm035
