key	doi	found_crossref	found_epmc	title	journal	year	problems
sakai1986	10.1083/jcb.103.6.2499	True	True	Fibrillin, a new 350-kD glycoprotein, is a component of extracellular microfibrils.	The Journal of cell biology	1986	
dietz1991	10.1038/352337a0	True	True	Marfan syndrome caused by a recurrent de novo missense mutation  in the fibrillin gene	Nature	1991	
handford1995	10.1074/jbc.270.12.6751	True	True	The Calcium Binding Properties and Molecular Organization of Epidermal Growth Factor-like Domains in Human Fibrillin-1	Journal of Biological Chemistry	1995	
jensen2012	10.1016/j.str.2011.12.008	True	True	Dissecting the Fibrillin Microfibril: Structural Insights into Organization and Function	Structure	2012	
downing1996	10.1016/S0092-8674(00)81259-3	True	True	Solution Structure of a Pair of Calcium-Binding Epidermal Growth Factor-like Domains: Implications for the Marfan Syndrome and Other Genetic Disorders	Cell	1996	
knott1996	10.1006/jmbi.1996.0003	True	True	Calcium Binding Properties of an Epidermal Growth Factor-like Domain Pair from Human Fibrillin-1	Journal of Molecular Biology	1996	
godwin2023	10.1038/s41594-023-00950-8	True	True	Fibrillin microfibril structure identifies long-range effects of inherited pathogenic mutations affecting a key regulatory latent TGFβ-binding site	Nat Struct Mol Biol	2023	
baudhuin2019	10.1038/s41431-019-0440-3	True	True	Variability in gene-based knowledge impacts variant classification: an analysis of FBN1 missense variants in ClinVar	Eur J Hum Genet	2019	
drackley2024	10.1186/s13073-024-01423-3	True	True	Interpretation and classification of FBN1 variants associated with Marfan syndrome: consensus recommendations from the Clinical Genome Resource’s FBN1 variant curation expert panel	Genome Med	2024	
handford1991	10.1038/351164a0	True	True	Key residues involved in calcium-binding motifs in EGF-like domains	Nature	1991	
kettle1999	10.1006/jmbi.1998.2368	True	True	Defective Calcium Binding to Fibrillin-1: Consequence of an N2144S Change for Fibrillin-1 Structure and Function	Journal of Molecular Biology	1999	
reinhardt2000	10.1074/jbc.275.16.12339	True	True	Mutations in Calcium-binding Epidermal Growth Factor Modules Render Fibrillin-1 Susceptible to Proteolysis	Journal of Biological Chemistry	2000	
