job_name,construct,uniprot_range,length_aa,n_ca_ions,cbegf_domains,domains_covered,destination,sha256_sequence
FBN1_cbEGF1-3_Ca3,cbEGF1-3,246-529,284,3,"1,2,3",EGF-like 4; calcium-binding [cbEGF1] (246-287); EGF-like 5; calcium-binding [cbEGF2] (288-329); TB 2 (334-389); EGF-like 6 (449-489); EGF-like 7; calcium-binding [cbEGF3] (490-529),structures/alphafold/FBN1_cbEGF1-3_Ca3/,b650a645d7b5e671
FBN1_cbEGF3-5_Ca3,cbEGF3-5,490-612,123,3,"3,4,5",EGF-like 7; calcium-binding [cbEGF3] (490-529); EGF-like 8; calcium-binding [cbEGF4] (530-571); EGF-like 9; calcium-binding [cbEGF5] (572-612),structures/alphafold/FBN1_cbEGF3-5_Ca3/,e5ddc84acf312d88
FBN1_cbEGF5-7_Ca3,cbEGF5-7,572-764,193,3,"5,6,7",EGF-like 9; calcium-binding [cbEGF5] (572-612); EGF-like 10; calcium-binding [cbEGF6] (613-653); TB 3 (659-711); EGF-like 11; calcium-binding [cbEGF7] (723-764),structures/alphafold/FBN1_cbEGF5-7_Ca3/,389a04bdc5f18007
FBN1_cbEGF7-9_Ca3,cbEGF7-9,723-846,124,3,"7,8,9",EGF-like 11; calcium-binding [cbEGF7] (723-764); EGF-like 12; calcium-binding [cbEGF8] (765-806); EGF-like 13; calcium-binding [cbEGF9] (807-846),structures/alphafold/FBN1_cbEGF7-9_Ca3/,57ceb2c9db25b4f8
FBN1_cbEGF9-11_Ca3,cbEGF9-11,807-1069,263,3,"9,10,11",EGF-like 13; calcium-binding [cbEGF9] (807-846); TB 4 (851-902); EGF-like 14; calcium-binding [cbEGF10] (910-951); TB 5 (956-1008); EGF-like 15; calcium-binding [cbEGF11] (1028-1069),structures/alphafold/FBN1_cbEGF9-11_Ca3/,bd0a7b3b48995f35
FBN1_cbEGF11-13_Ca3,cbEGF11-13,1028-1154,127,3,"11,12,13",EGF-like 15; calcium-binding [cbEGF11] (1028-1069); EGF-like 16; calcium-binding [cbEGF12] (1070-1112); EGF-like 17; calcium-binding [cbEGF13] (1113-1154),structures/alphafold/FBN1_cbEGF11-13_Ca3/,9db1cf9dbeee37e0
FBN1_cbEGF13-15_Ca3,cbEGF13-15,1113-1237,125,3,"13,14,15",EGF-like 17; calcium-binding [cbEGF13] (1113-1154); EGF-like 18; calcium-binding [cbEGF14] (1155-1196); EGF-like 19; calcium-binding [cbEGF15] (1197-1237),structures/alphafold/FBN1_cbEGF13-15_Ca3/,9e1fd86f58884775
FBN1_cbEGF15-17_Ca3,cbEGF15-17,1197-1321,125,3,"15,16,17",EGF-like 19; calcium-binding [cbEGF15] (1197-1237); EGF-like 20; calcium-binding [cbEGF16] (1238-1279); EGF-like 21; calcium-binding [cbEGF17] (1280-1321),structures/alphafold/FBN1_cbEGF15-17_Ca3/,c81396e5ed0c67f4
FBN1_cbEGF17-19_Ca3,cbEGF17-19,1280-1403,124,3,"17,18,19",EGF-like 21; calcium-binding [cbEGF17] (1280-1321); EGF-like 22; calcium-binding [cbEGF18] (1322-1362); EGF-like 23; calcium-binding [cbEGF19] (1363-1403),structures/alphafold/FBN1_cbEGF17-19_Ca3/,21ad8cc4561fd1cb
FBN1_cbEGF19-21_Ca3,cbEGF19-21,1363-1486,124,3,"19,20,21",EGF-like 23; calcium-binding [cbEGF19] (1363-1403); EGF-like 24; calcium-binding [cbEGF20] (1404-1445); EGF-like 25; calcium-binding [cbEGF21] (1446-1486),structures/alphafold/FBN1_cbEGF19-21_Ca3/,7652abc89e2f3763
